hashtag_source,candidate_source,post_url,shortcode,media_id,date_utc,taken_at,caption_text,caption_word_count,hashtags_in_caption,mentions_in_caption,like_count,comment_count,view_count,media_type,product_type,location_name,account_hash
yogaretreat,top,https://www.instagram.com/studio.airi/reel/DUQt-ZjAi7y/,DUQt-ZjAi7y,3823758283768999666,2026-02-02T15:55:00+00:00,1770047700,"When you become your own safe place. Comfort and strenght your younger self once looked for outside of herself.

You’ve become the one who keeps going, who learns, who heals, who chooses herself even when it’s hard. And that is powerful, healing, and deeply, deeply beautiful.

#growthmindset#healingjourney#yogaretreat#embodiment#iceland",51,growthmindset;healingjourney;yogaretreat;embodiment;iceland,,815,10,13223,2,clips,Iceland,ff4ab531ec7ab629
yogaretreat,top,https://www.instagram.com/kinoyoga/reel/DVIwYsujwtT/,DVIwYsujwtT,3839531485859089235,2026-02-24T10:12:26+00:00,1771927946,"Yoga does not end when the āsana practice is over. In many ways, it is just beginning. We cultivate strength so that we may hold peace as a living prayer, even, and especially, in times of chaos and uncertainty.

The practice traditionally closes with the ritual chanting of Om Śāntiḥ Śāntiḥ Śāntiḥ, repeated three times in reference to the tāpa-traya, the three kinds of suffering. The first invocation is for peace within, a quieting of inner turbulence, a settling of the mind and heart. The second is for peace in the external world, a sincere wish for harmony among all beings, a hope that understanding may prevail over conflict. The third is for peace in the unseen, cosmic realm, where the subtle currents of life move beyond personal control.

Ending the practice with this chant reminds us that peace begins within, radiates outward, and ultimately rests in the vastness that holds us all.

Last few spots available to practice with us in beautiful Bali, where @timfeldmannyoga  and I will be leading a 2-week, 50-hour Ashtanga Yoga training in Ubud—you can join for Mysore only, morning and afternoons, either week or both weeks. 

March 3–15, 2026 @radiantlyaliveyoga @radiantlyalive.ubud 

Link in bio to sign up 🙏

#baliyoga #yogabali #yogaretreats #yogaretreat #ashtanga 

💕",209,baliyoga;yogabali;yogaretreats;yogaretreat;ashtanga,timfeldmannyoga;radiantlyaliveyoga;radiantlyalive.ubud,1160,39,39632,2,clips,"Bali, Indonesia",c04fa01d882ce55a
yogaretreat,top,https://www.instagram.com/ulpotha/reel/DKmBLlcorZ0/,DKmBLlcorZ0,3649609742199993972,2025-06-05T15:31:59+00:00,1749137519,"Meet @demariayogadance 

One of Ibiza’s most respected yoga teachers, James has been sharing his practice with adults and children for over two decades.

Before discovering yoga, James trained as a professional dancer in London—first at the Central School of Ballet, and then at the London Contemporary Dance School, where he developed a deep understanding of release technique under teachers like Larren Potter, Gill Clarke and Paul Douglas. He also studied Pilates with Alan Herdman, adding another layer of awareness to his movement practice.

James brings this background into his teaching, weaving together dance, Pilates and release work to create a flowing style that feels both grounded and free. His classes invite you to connect with your breath, explore postures in a way that suits your body, and experience the natural rhythm of movement.

You’ll also explore breathing techniques and Mudras to encourage the flow of prana (life force), and take time to rest and restore with relaxation and meditation.

Whether you’re completely new to yoga or returning to deepen your practice, James creates a space that’s welcoming, personal, and tuned in to how you feel in the moment.

3-17 August - Conscious Yoga Flow

Book by 22 June for 20% off - head to our link.in bio.⁠

#yogaretreat #ulpotha #jamesdemaria #srilanka #ayurveda #yogaflow #consciousyoga #wellnessholiday #yogasrilanka #wellnessescape #ulpotharetreat",218,yogaretreat;ulpotha;jamesdemaria;srilanka;ayurveda;yogaflow;consciousyoga;wellnessholiday;yogasrilanka;wellnessescape;ulpotharetreat,demariayogadance,905,8,7341,2,clips,Ulpotha Yoga & Ayurveda Retreat,6eef0f7575b50b5f
yogaretreat,top,https://www.instagram.com/yogainsalento/reel/DZkZ_mQNW_Z/,DZkZ_mQNW_Z,3919371897283112921,2026-06-14T14:13:31+00:00,1781446411,"They’re back 😍🕉️🕉️. A glimpse into the first day of our annual Ashtanga Yoga Retreat with David & Jelena Robson.
As David leads Surya Namaskar A, the room fills with breath, movement, and focus. And among the practitioners, many familiar faces have returned once again—a beautiful reminder of the friendships, dedication, and community that continue to grow through this practice.
Welcome back to @agricolasamadhisalento 

#AshtangaYoga #DavidRobson #JelenaRobson #YogaInSalento #YogaRetreat",69,ashtangayoga;davidrobson;jelenarobson;yogainsalento;yogaretreat,agricolasamadhisalento,1717,35,58242,2,clips,,6dd51e6d4177a525
yogaretreat,top,https://www.instagram.com/yogainsalento/reel/DZruBcANWgi/,DZruBcANWgi,3921430309483407394,2026-06-17T10:14:38+00:00,1781691278,"🌸 A fleeting few second glimpse of this morning Mysore session with David and Jelena. Part of their yearly Ashtanga Yoga Retreat with Yoga in Salento, this moment captures the quiet focus of the practice, the outstanding assists, and the individualized guidance they offer to every practitioner. 🙏💕

#YogaRetreat #AshtangaYogaPractice #AshtangaYoga #DailyPractice #Assist
🪷 Om Shanti 🕉️",54,yogaretreat;ashtangayogapractice;ashtangayoga;dailypractice;assist,,730,6,60532,2,clips,Agricola Samadhi Yis,6dd51e6d4177a525
yogaretreat,top,https://www.instagram.com/krugerretreat/p/DZu0k33IU1D/,DZu0k33IU1D,3922303557786750275,2026-06-18T15:07:36+00:00,1781795256,"What this retreat is really about:

This is not your average wellness retreat.
This is a luxury nervous system reset in nature.
Every detail is taken care of so you can focus on having the most rejuvenating experience possible.

Over 6 days you will move from:
Burnout → Grounded
Overthinking → Presence
Disconnection → Vitality

Through yoga, breathwork, and immersion in the wild landscapes of Kruger National Park.

If you’ve been searching for a transformational wellness retreat to end 2026 on a high, this is it.

#NervousSystemReset #WellnessRetreat #YogaRetreat #HealingRetreat",90,nervoussystemreset;wellnessretreat;yogaretreat;healingretreat,,20,0,,1,feed,,db97df40427b4013
yogaretreat,top,https://www.instagram.com/suriyyyaa_/reel/DR4JikqiTRA/,DR4JikqiTRA,3780813845426680896,2025-12-05T09:51:56+00:00,1764928316,"Experience the divine! 

Satsang Ashram Madanapalle is a heavenly oasis, home to the world’s first Maha Avatar Babaji Temple. Surround yourself with positivity and wisdom from great mentors in a cozy atmosphere.

 A must-visit spiritual haven!

 #SatsangAshram #Madanapalle #MahaAvatarBabaji #SpiritualHeaven #CozyVibes #GreatMentors #TempleLife #AshramLife #PeacefulVibes #SoulfulJourney #SpiritualGrowth #YogaRetreat #MeditationHub #WitnessProtection #DivineEnergy #SacredSpace #FaithAndLove #SpiritualCommunity #PositiveVibes #HealingPlace #Gratitude #Blessed #shrim",59,satsangashram;madanapalle;mahaavatarbabaji;spiritualheaven;cozyvibes;greatmentors;templelife;ashramlife;peacefulvibes;soulfuljourney;spiritualgrowth;yogaretreat;meditationhub;witnessprotection;divineenergy;sacredspace;faithandlove;spiritualcommunity;positivevibes;healingplace;gratitude;blessed;shrim,,2265,19,69694,2,clips,,92547fe405e51588
yogaretreat,top,https://www.instagram.com/claudiaariasyoga/p/DPg6IuyDdh3/,DPg6IuyDdh3,3738243377402861687,2025-10-07T16:09:18+00:00,1759853358,"¿El cuerpo pesa y la mente va demasiado rápido? Lee esto: 12 llaves que transformaron mi práctica en presencia.

🤎 ¿Con cuál te quedas? ¡Compártela!

#saharadesert #merzouga #merzougadesert #sahara #yogaretreat",33,saharadesert;merzouga;merzougadesert;sahara;yogaretreat,,1122,77,,8,carousel_container,"Sahara Desert, Morocco",b1db95aceb3e4173
yogaretreat,recent;top,https://www.instagram.com/sukhasoulyogaretreats/p/DZxi9MvFCJ9/,DZxi9MvFCJ9,3923070489560621693,2026-06-19T16:27:47+00:00,1781886467,"one of our favorite sukha soul traditions ✨ 

at every weekend retreat, you’ll find us gathered around a table covered in magazines, scissors, glue sticks, and an alarming number of images of italian coastlines. 😂 

we love creating space for our guests to reflect on where they’ve been, where they’re headed, and what they want more of in their lives. 

we always end with a lil show&tell … a chance to celebrate our dreams, witness one another’s visions, and leave feeling inspired by what’s possible. 🪄

📸: @regbum",86,,regbum,5,4,,8,carousel_container,"Idyllwild, California",96de57df79a7b778
yogaretreat,top,https://www.instagram.com/by.luneth/reel/DZxbCmVIoLX/,DZxbCmVIoLX,3923035676267938519,2026-06-19T15:23:26+00:00,1781882606,"✨ Yacht Yoga Experience Vol. 2

İlk etkinliğimize gösterdiğiniz yoğun ilgi ve güven için teşekkür ederiz.

Şimdi yeniden buluşuyoruz.

26 Haziran’da Çeşme Marina’da; hareketin, nefesin, farkındalığın ve yeni bağların bir araya geldiği özel bir deneyim için tekrar bir aradayız.

Yoga, matcha workshopu, sürpriz hediyeler ve ilham veren bir topluluk eşliğinde unutulmaz bir deneyim sizi bekliyor.

Kontenjan sınırlıdır.

📍 Çeşme Marina
📅 26 Haziran 2026
📩 Kayıt ve detaylı bilgi için DM

#YachtYogaExperience #ÇeşmeMarina #WellnessExperience #yogaretreat #yogacommunitylove",80,yachtyogaexperience;çeşmemarina;wellnessexperience;yogaretreat;yogacommunitylove,,3,2,354,2,clips,İzmir,ce42aec785075242
